Id,Label,timeset,modularity_class,indegree,outdegree,Degree,componentnumber,strongcompnum,weighted indegree,weighted outdegree,Weighted Degree
Mervillacv,Mervillacv,,0,0,0,0,0,0,0,0,0
malmestar,malmestar,,0,0,0,0,0,0,0,0,0
paconarud,paconarud,,0,0,0,0,0,0,0,0,0
bonromani,bonromani,,0,0,0,0,0,0,0,0,0
SusanaRopero2,SusanaRopero2,,0,0,0,0,0,0,0,0,0
espasan,espasan,,0,0,0,0,0,0,0,0,0
vcNocito,vcNocito,,0,0,0,0,0,0,0,0,0
laurafermanso,laurafermanso,,0,0,0,0,0,0,0,0,0
susanaherrera,susanaherrera,,1,0,2,2,0,786,0,2,2
rubenmrtnpy,rubenmrtnpy,,8,0,2,2,0,788,0,2,2
andalucianet,andalucianet,,11,1,0,1,0,789,1,0,1
IWF_Spain,IWF_Spain,,3,0,5,5,0,794,0,5,5
RGrynspan,RGrynspan,,0,0,0,0,0,0,0,0,0
kh12rs,kh12rs,,0,0,0,0,0,0,0,0,0
Carmen_2Estevez,Carmen_2Estevez,,6,0,2,2,0,795,0,2,2
yasbcn84,yasbcn84,,0,0,0,0,0,0,0,0,0
instindologia,instindologia,,0,0,0,0,0,0,0,0,0
CsCastillayLeon,CsCastillayLeon,,3,0,2,2,0,797,0,2,2
CPR_Zafra,CPR_Zafra,,0,0,0,0,0,0,0,0,0
TxesusZ,TxesusZ,,0,0,0,0,0,0,0,0,0
CarmenPanadero,CarmenPanadero,,0,0,0,0,0,0,0,0,0
cejmjusticia,cejmjusticia,,13,1,1,2,0,799,1,1,2
jlds1605,jlds1605,,0,0,0,0,0,0,0,0,0
Uudos,Uudos,,0,0,0,0,0,0,0,0,0
Guadaumbrete,Guadaumbrete,,0,0,0,0,0,0,0,0,0
IDG_tv,IDG_tv,,14,8,2,10,0,194,8,2,10
quironsalud,quironsalud,,10,1,0,1,0,800,1,0,1
CCACadiz,CCACadiz,,0,0,0,0,0,0,0,0,0
Soniaalcayna,Soniaalcayna,,8,0,3,3,0,802,0,3,3
GVAsptcv,GVAsptcv,,0,0,0,0,0,0,0,0,0
GIMadrid,GIMadrid,,9,4,0,4,0,12,4,0,4
EzanHung,EzanHung,,0,0,0,0,0,0,0,0,0
trabaja_MA,trabaja_MA,,0,0,0,0,0,0,0,0,0
ALCBDS_Web,ALCBDS_Web,,0,0,0,0,0,0,0,0,0
Juliaaviles31,Juliaaviles31,,0,0,0,0,0,0,0,0,0
Elenag_v,Elenag_v,,0,0,0,0,0,0,0,0,0
mitecogob,mitecogob,,13,3,0,3,0,236,3,0,3
amaialarrea,amaialarrea,,9,1,1,2,0,777,1,1,2
GrupoPopularGal,GrupoPopularGal,,0,0,0,0,0,0,0,0,0
012jcyl,012jcyl,,3,3,1,4,0,803,3,1,4
Juanrayito1,Juanrayito1,,4,0,2,2,0,804,0,2,2
JuanfraEscudero,JuanfraEscudero,,11,1,0,1,0,805,1,0,1
PctcanOficial,PctcanOficial,,0,0,0,0,0,0,0,0,0
Manuj_Hidalgo,Manuj_Hidalgo,,9,1,1,2,0,806,1,1,2
areihur,areihur,,0,0,0,0,0,0,0,0,0
juanfer_camposb,juanfer_camposb,,11,2,1,3,0,417,2,1,3
BECAES_,BECAES_,,16,1,5,6,0,807,1,5,6
SEstadoMigr,SEstadoMigr,,0,2,0,2,0,756,2,0,2
itene,itene,,0,0,0,0,0,0,0,0,0
DuroBelinda,DuroBelinda,,6,0,6,6,0,810,0,6,6
ADominguezRamos,ADominguezRamos,,13,0,3,3,0,813,0,3,3
PedroSantiagoSo,PedroSantiagoSo,,4,0,1,1,0,814,0,1,1
mensaka13,mensaka13,,0,0,0,0,0,0,0,0,0
ConchiAbellan_,ConchiAbellan_,,6,12,1,13,0,386,12,1,13
JuanPudelAmo,JuanPudelAmo,,0,0,1,1,0,818,0,1,1
DoradoGabriel,DoradoGabriel,,0,0,0,0,0,0,0,0,0
gLo_valles,gLo_valles,,0,0,0,0,0,0,0,0,0
